,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
116,3.0,11209,POINT (-74.0313694054087 40.61637311059178),-74.0313694054087,40.61637311059178,35,4013,48170.458,107113832.637
117,3.0,11229,POINT (-73.9239376273276 40.59137103427607),-73.9239376273276,40.59137103427607,38,4016,109480.188237,120716882.065
118,3.0,11223,POINT (-73.9718084463328 40.59054439000408),-73.9718084463328,40.590544390004084,40,4018,76220.7229706,96030474.3336
119,3.0,11222,POINT (-73.95069497514092 40.72602806688718),-73.95069497514092,40.72602806688718,23,4001,73897.4959714,114906677.762
120,3.0,11223,POINT (-73.98624641554409 40.60569303737044),-73.98624641554409,40.605693037370436,39,4017,48986.1529273,103016112.076
121,3.0,11223,POINT (-73.96059936964683 40.5952368631223),-73.96059936964683,40.5952368631223,38,4016,109480.188237,120716882.065
122,3.0,11236,POINT (-73.88924363004107 40.63446013901777),-73.88924363004107,40.63446013901777,31,4009,368930.937178,343640810.866
123,3.0,11218,POINT (-73.97543590517284 40.63129183260273),-73.97543590517284,40.63129183260273,37,4015,50007.9713088,81045770.1741
124,3.0,11229,POINT (-73.94112492296973 40.59486151512161),-73.94112492296973,40.594861515121615,38,4016,109480.188237,120716882.065
125,3.0,11229,POINT (-73.95310584865699 40.61025666727608),-73.95310584865699,40.610256667276076,38,4016,109480.188237,120716882.065
126,3.0,11211,POINT (-73.94793571283621 40.71364488802169),-73.94793571283621,40.71364488802169,23,4001,73897.4959714,114906677.762
127,3.0,11233,POINT (-73.93480547027619 40.68300490204431),-73.93480547027619,40.68300490204431,25,4003,44724.5004612,64036724.4504
128,3.0,11204,POINT (-73.989440154021 40.62309139633207),-73.989440154021,40.62309139633207,36,4014,51089.0682127,87680448.1856
129,3.0,11216,POINT (-73.95128349802154 40.69162308733465),-73.95128349802154,40.69162308733465,25,4003,44724.5004612,64036724.4504
130,3.0,11219,POINT (-74.01183730763366 40.62918753393924),-74.01183730763366,40.62918753393924,35,4013,48170.458,107113832.637
131,3.0,11230,POINT (-73.96031449280875 40.62589330718781),-73.96031449280875,40.62589330718781,37,4015,50007.9713088,81045770.1741
132,3.0,11234,POINT (-73.91702120710569 40.61986842104019),-73.91702120710569,40.61986842104019,31,4009,368930.937178,343640810.866
133,3.0,11207,POINT (-73.88607053682676 40.66515936973013),-73.88607053682676,40.665159369730134,30,4008,97558.4670821,164339106.08
134,3.0,11214,POINT (-74.00337654508532 40.60800934995233),-74.00337654508532,40.608009349952326,39,4017,48986.1529273,103016112.076
135,3.0,11217,POINT (-73.97858353651877 40.68346662977525),-73.97858353651877,40.68346662977525,27,4005,95462.4834828,114514600.094
136,3.0,11234,POINT (-73.91998488083019 40.63263699303789),-73.91998488083019,40.63263699303789,31,4009,368930.937178,343640810.866
137,3.0,11215,POINT (-73.98345536969875 40.66823507229803),-73.98345536969875,40.66823507229803,27,4005,95462.4834828,114514600.094
138,3.0,11231,POINT (-74.01034306908539 40.6752407736475),-74.0103430690854,40.6752407736475,27,4005,95462.4834828,114514600.094
139,3.0,11203,POINT (-73.93035653080916 40.64861929304924),-73.93035653080916,40.64861929304924,32,4010,49993.7073847,85916208.8562
140,3.0,11204,POINT (-73.97596652755537 40.61587982519312),-73.97596652755537,40.61587982519312,36,4014,51089.0682127,87680448.1856
141,3.0,11233,POINT (-73.91513241598248 40.68481004767251),-73.91513241598248,40.68481004767251,29,4007,44860.7781372,72205366.5338
142,3.0,11235,POINT (-73.95537377987904 40.58701342922593),-73.95537377987904,40.58701342922593,38,4016,109480.188237,120716882.065
143,3.0,11207,POINT (-73.88586614058737 40.65320976133398),-73.88586614058737,40.653209761333976,30,4008,97558.4670821,164339106.08
144,3.0,11212,POINT (-73.90524945420668 40.66449962821875),-73.90524945420668,40.66449962821875,29,4007,44860.7781372,72205366.5338
145,3.0,11220,POINT (-74.01363000121501 40.64591212398883),-74.013630001215,40.64591212398883,34,4012,96983.6271364,112208109.35
146,3.0,11214,POINT (-73.98862740604375 40.59268511632151),-73.98862740604375,40.59268511632151,39,4017,48986.1529273,103016112.076
147,3.0,11205,POINT (-73.97773263286963 40.69448969834957),-73.97773263286963,40.69448969834957,26,4004,73010.0956282,86682052.0213
148,3.0,11237,POINT (-73.91220085369726 40.69749505302998),-73.91220085369726,40.697495053029975,24,4002,44917.4130232,70686985.4608
149,3.0,11211,POINT (-73.9575546134494 40.70693042467486),-73.9575546134494,40.70693042467486,23,4001,73897.4959714,114906677.762
150,3.0,11218,POINT (-73.9767587688368 40.64875019151304),-73.9767587688368,40.64875019151304,34,4012,96983.6271364,112208109.35
151,4.0,11692,POINT (-73.78404002857111 40.59314678303443),-73.78404002857111,40.59314678303443,54,4114,402487.073726,310522670.444
152,4.0,11102,POINT (-73.92874209024014 40.77237538146876),-73.92874209024014,40.77237538146876,41,4101,76015.2039665,143819416.07
153,4.0,11358,POINT (-73.79634178839724 40.77374625571075),-73.79634178839724,40.773746255710755,43,4103,149451.567392,329873810.656
154,4.0,11436,POINT (-73.79167861112357 40.68031131164878),-73.79167861112357,40.68031131164878,52,4112,72793.6040684,260049220.98
155,4.0,11360,POINT (-73.77701089642582 40.78252384357715),-73.77701089642582,40.78252384357715,43,4103,149451.567392,329873810.656
156,4.0,11361,POINT (-73.76836198066813 40.76012558120687),-73.76836198066813,40.76012558120687,44,4104,104978.089545,260047824.698
157,4.0,11426,POINT (-73.71710447116403 40.7351605518022),-73.71710447116403,40.7351605518022,45,4105,206027.45579,550135981.616
158,4.0,11435,POINT (-73.81945312008847 40.71003455781208),-73.81945312008847,40.71003455781208,46,4106,79842.9340986,207308619.71
159,4.0,11693,POINT (-73.82005265821793 40.60073210518514),-73.82005265821793,40.600732105185145,54,4114,402487.073726,310522670.444
160,4.0,11103,POINT (-73.91862332039818 40.75852926696433),-73.91862332039818,40.75852926696433,41,4101,76015.2039665,143819416.07
161,4.0,11411,POINT (-73.74116313648599 40.69572260595064),-73.741163136486,40.695722605950635,45,4105,206027.45579,550135981.616
162,4.0,11432,POINT (-73.7946780399278 40.70787313178586),-73.7946780399278,40.70787313178586,52,4112,72793.6040684,260049220.98
163,4.0,11368,POINT (-73.86197684397808 40.7508940803989),-73.86197684397808,40.7508940803989,42,4102,64416.9369837,117155733.277
164,4.0,11101,POINT (-73.94442138618983 40.74689957448345),-73.94442138618983,40.74689957448345,49,4109,95211.0194607,167050353.269
165,4.0,11363,POINT (-73.73822944076473 40.768225432005),-73.73822944076473,40.768225432005,44,4104,104978.089545,260047824.698
166,4.0,11369,POINT (-73.87386662995279 40.76242212968529),-73.87386662995279,40.76242212968529,42,4102,64416.9369837,117155733.277
